Opponent_Stadium_Coordinates,Distance from Coventry (meters),Travel Time (minutes)
"(52.0098, -0.7335)",,
"(51.439, -2.6209)",,
"(51.38468167414515, 0.5617073688951303)",,
"(53.55244175289766, -1.467708650287881)",,
"(51.49094806427966, -0.2888447288699287)",,
"(54.57829568503369, -1.2168904442113437)",,
"(52.939937009912484, -1.1328459712165433)",,
"(51.650120437239465, -0.40159779285842023)",,
"(52.62218834093488, 1.3091125096855423)",,
"(52.92058941762811, -1.4469649772043025)",,
"(51.63136151120107, -0.8003533423807407)",,
"(53.411564190680394, -1.5006868344794106)",,
"(53.772563782819255, -2.6884375622640664)",,
"(51.4870229876299, -0.05084635802115084)",,
"(51.42257470503287, -0.9826389072904965)",,
"(52.47583788238037, -1.8680828286532856)",,
"(51.47296417372802, -3.2030128423589277)",,
"(51.642956098962756, -3.93455699513681)",,
"(53.728889832697206, -2.4891047981981433)",,
"(51.88445521216652, -0.43175535579731544)",,
"(51.5094888169521, -0.2321485562912954)",,
"(50.73502386073819, -1.8391337556946)",,
"(53.42715265450986, -1.3630106712208971)",,
"(52.988275303354676, -2.176215994824261)",,
"(53.65441572847847, -1.7682946153763444)",,
"(53.55244175289766, -1.467708650287881)",,
"(51.5094888169521, -0.2321485562912954)",,
"(51.4870229876299, -0.05084635802115084)",,
"(51.88445521216652, -0.43175535579731544)",,
"(53.728889832697206, -2.4891047981981433)",,
"(53.772563782819255, -2.6884375622640664)",,
"(53.746143815707526, -0.3680872151387129)",,
"(53.411564190680394, -1.5006868344794106)",,
"(50.73502386073819, -1.8391337556946)",,
"(53.65441572847847, -1.7682946153763444)",,
"(52.5665929188481, -0.2402491780917818)",,
"(54.57829568503369, -1.2168904442113437)",,
"(51.42257470503287, -0.9826389072904965)",,
"(51.47296417372802, -3.2030128423589277)",,
"(51.44037240446043, -2.6203341002093734)",,
"(51.642956098962756, -3.93455699513681)",,
"(52.92058941762811, -1.4469649772043025)",,
"(52.939937009912484, -1.1328459712165433)",,
"(51.47939074246434, -0.22229444716638527)",,
"(52.47583788238037, -1.8680828286532856)",,
"(52.509540719195165, -1.9638315955415677)",,
"(50.90603309912257, -1.3902261745269902)",,
"(52.988275303354676, -2.176215994824261)",,
"(54.91470900546442, -1.3883066270216171)",,
"(51.4870229876299, -0.05084635802115084)",,
"(53.746143815707526, -0.3680872151387129)",,
"(52.62218834093488, 1.3091125096855423)",,
"(51.88445521216652, -0.43175535579731544)",,
"(52.47583788238037, -1.8680828286532856)",,
"(51.44037240446043, -2.6203341002093734)",,
"(51.47296417372802, -3.2030128423589277)",,
"(52.988275303354676, -2.176215994824261)",,
"(51.650120437239465, -0.40159779285842023)",,
"(51.42257470503287, -0.9826389072904965)",,
"(53.370723563651154, -1.470971886533067)",,
"(53.7893039075538, -2.2303050172369403)",,
"(52.509540719195165, -1.9638315955415677)",,
"(53.42715265450986, -1.3630106712208971)",,
"(53.772563782819255, -2.6884375622640664)",,
"(53.65441572847847, -1.7682946153763444)",,
"(53.5478180452599, -2.654100508758006)",,
"(53.805576443544375, -3.0493753965801154)",,
"(51.642956098962756, -3.93455699513681)",,
"(53.746143815707526, -0.3680872151387129)",,
"(51.47296417372802, -3.2030128423589277)",,
"(51.5094888169521, -0.2321485562912954)",,
"(51.44037240446043, -2.6203341002093734)",,
"(53.42715265450986, -1.3630106712208971)",,
"(53.772563782819255, -2.6884375622640664)",,
"(51.4870229876299, -0.05084635802115084)",,
"(52.05568594015561, 1.1460875189382713)",,
"(53.77814724006821, -1.5721733411413423)",,
"(54.91470900546442, -1.3883066270216171)",,
"(54.57829568503369, -1.2168904442113437)",,
"(53.411564190680394, -1.5006868344794106)",,
"(53.411564190680394, -1.5006868344794106)",,
"(52.62218834093488, 1.3091125096855423)",,
"(50.38848096615988, -4.151935238139904)",,
"(52.988275303354676, -2.176215994824261)",,
"(52.509540719195165, -1.9638315955415677)",,
"(51.650120437239465, -0.40159779285842023)",,
"(52.59038681463103, -2.1304546320468467)",,
"(53.65441572847847, -1.7682946153763444)",,
"(50.90603309912257, -1.3902261745269902)",,
"(52.47583788238037, -1.8680828286532856)",,
"(53.46351738535478, -2.2915410881057534)",,
"(53.728889832697206, -2.4891047981981433)",,
